Sales,01/01/2020-01/31/2020,02/01/2020-02/29/2020,03/01/2020-03/31/2020,04/01/2020-04/30/2020,05/01/2020-05/31/2020,06/01/2020-06/30/2020,07/01/2020-07/31/2020,08/01/2020-08/31/2020,09/01/2020-09/30/2020,10/01/2020-10/31/2020,11/01/2020-11/30/2020,12/01/2020-12/31/2020
Gross Sales,$0.00,$2.31,$86.77,"$1,889.34",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$295.47
Returns,$0.00,-$2.31,$0.00,-$136.68,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Discounts & Comps,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Net Sales,$0.00,$0.00,$86.77,"$1,752.66",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$295.47
Gift Card Sales,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Tax,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Tip,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Refunds by Amount,$0.00,$0.00,$0.00,-$5.39,-$8.99,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Cash Rounding,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Total,$0.00,$0.00,$86.77,"$1,747.27",-$8.99,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$295.47

Payments
Total Collected,$0.00,$0.00,$86.77,"$1,747.27",-$8.99,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$295.47
Fees,$0.00,$0.00,-$3.12,-$61.49,$0.26,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$7.95
Net Total,$0.00,$0.00,$83.65,"$1,685.78",-$8.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$287.52
